Title,Artist,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
You're The One - Un mal pour un bien,Petula Clark,7dmLg6dYLmjlJXNwFEPQqf,0.451,0.67,5,-8.938,0,0.0366,0.651,0.0,0.643,0.871,136.86,145960
Doctor My Eyes,Jackson Browne,3QcuZo6WLcFkqqLmDs0d95,0.48,0.626,5,-8.406,1,0.0294,0.266,5.7e-05,0.0857,0.542,75.63,199907
Falling in Love at a Coffee Shop,Landon Pigg,1KHdq8NK9QxnGjdXb55NiG,0.489,0.561,4,-7.933,1,0.0274,0.2,4.56e-05,0.179,0.238,83.457,244987
Peaceful Easy Feeling - 2013 Remaster,Eagles,40h65HAR8COEoqkMwUUQHu,0.568,0.634,4,-12.336,1,0.0282,0.494,0.00281,0.252,0.866,142.686,257963
Summertime Blues,Eddie Cochran,3oAWTk92mZBxKBOKf8mR5v,0.714,0.886,11,-8.629,0,0.0554,0.116,0.184,0.18,0.954,156.351,119360
Running on Empty,Jackson Browne,4MZEZz8MqVgvIMXU6AVP22,0.531,0.948,9,-5.438,1,0.0568,0.006,0.0117,0.694,0.498,136.891,298093
"Come On, Let's Go",Ritchie Valens,4cRfSR0QxDlXRHTKyEOu93,0.616,0.724,9,-8.101,1,0.042,0.788,3.16e-06,0.128,0.809,81.402,124587
Ain't That A Shame,Fats Domino,4ZfQwNx3FlCN07cnUvekh3,0.486,0.501,4,-8.57,1,0.0326,0.767,7.6e-05,0.0679,0.942,122.894,152200
Johnny B. Goode,Chuck Berry,4Hbe0lRKsXtDZ2wQIovz7I,0.522,0.806,10,-9.097,1,0.0817,0.748,5.48e-05,0.313,0.969,168.078,161560
Great Balls Of Fire - 1964 Version,Jerry Lee Lewis,5UvE5QlINnvEc7aFO14DVL,0.4,0.818,0,-11.238,1,0.08,0.458,3.25e-06,0.132,0.936,166.287,109707
Come Go With Me,The Del-Vikings,4IYyGIbMS5ZkxDXGfPIrXr,0.566,0.534,5,-9.416,0,0.0409,0.713,0.0,0.0883,0.582,129.69,162293
All I Have to Do Is Dream,The Everly Brothers,7dblNGnRXEBrVJunazs2U5,0.534,0.462,4,-8.172,1,0.0266,0.839,0.0,0.129,0.534,96.195,143333
Oh Boy!,Buddy Holly,230q1mJQcafr2H7Nzagby3,0.549,0.625,9,-7.34,1,0.0436,0.782,0.0,0.144,0.874,96.971,127680
Lyin' Eyes - 2013 Remaster,Eagles,5lQKRR3MdJLtAwNBiT8Cq0,0.669,0.673,7,-9.754,1,0.0248,0.203,0.0271,0.164,0.867,132.68,381999
Long Tall Sally,Little Richard,6n3HCYuumzxe00S1fBNbUk,0.428,0.569,5,-10.024,1,0.0914,0.756,0.0,0.133,0.894,184.441,127973
Runaround Sue,Dion,1DndHckdH9m5rp6gYP086b,0.364,0.607,2,-9.791,1,0.125,0.451,0.0,0.251,0.598,79.987,171600
A Teenager In Love,Dion & The Belmonts,0QGwOFQChzflLAmPq5NwKo,0.555,0.377,1,-9.123,1,0.0295,0.671,0.0,0.128,0.619,78.986,158253
No Particular Place To Go,Chuck Berry,6yb74UNBAyeNtFXRDlhGgJ,0.611,0.781,7,-8.775,1,0.0454,0.493,0.00083,0.0964,0.975,128.671,163000
Whole Lot of Shakin' Going On,Jerry Lee Lewis,6wO13Xb3EdHUNixFOEJ0KV,0.377,0.626,0,-9.662,1,0.033,0.832,6.46e-05,0.188,0.678,161.468,172400
Heartbeat,Buddy Holly,5yOGccgL54e9gGaZ0IBB6S,0.614,0.273,9,-12.706,1,0.0332,0.61,0.0,0.0488,0.823,151.228,129533
C’Mon Everybody,Eddie Cochran,7ItZM6DMZE2m1X7yIaRxjq,0.627,0.7,3,-9.657,1,0.0522,0.121,0.0111,0.188,0.856,175.33,118227
La Bamba - Single Version,Ritchie Valens,2aEeghgUcnu75tzcolFMfs,0.516,0.809,0,-6.419,1,0.0545,0.787,0.000331,0.303,0.939,75.099,126960
Tutti Frutti,Little Richard,2vXk7PcNLLXsdnVaoMxzTj,0.58,0.444,0,-10.056,0,0.0724,0.574,0.0,0.0463,0.963,185.156,143427
Roll Over Beethoven,Chuck Berry,1CQWIpYzU0fk0DT4oXsrkd,0.707,0.78,3,-10.142,1,0.235,0.83,0.0,0.199,0.808,92.653,144600
Bye Bye Love,The Everly Brothers,6oRHRkQigTzJ3KwpO3XOV6,0.547,0.523,9,-9.176,1,0.0572,0.724,0.0,0.103,0.89,169.598,142907
Hound Dog,Elvis Presley,64Ny7djQ6rNJspquof2KoX,0.494,0.756,0,-8.492,1,0.0499,0.733,0.00505,0.76,0.949,86.895,136027
The Wanderer,Dion,1UwriLz98ILbRhrtohTca1,0.623,0.48,2,-13.215,1,0.0392,0.193,0.0,0.11,0.842,114.436,167160
The Great Pretender,The Platters,2FkCjtQ1lYsf71s2FAS8hE,0.425,0.401,7,-9.427,1,0.0315,0.943,3.44e-06,0.072,0.531,115.71,160667
I Wonder Why,Dion & The Belmonts,7vAw4LLIms6X8ZHcbtoazz,0.506,0.699,10,-3.834,1,0.0348,0.569,0.0,0.158,0.901,103.463,141387
Chantilly Lace,The Big Bopper,07GtDOCxmye5KDWsTSACPk,0.489,0.806,3,-6.054,1,0.0858,0.841,2.96e-05,0.0687,0.944,172.269,145267
Good Golly Miss Molly,Little Richard,1s1kY9duH0g4jKHrxxjTkX,0.654,0.712,0,-11.739,1,0.0476,0.601,0.00219,0.33,0.965,82.111,129133
Wake up Little Susie,The Everly Brothers,11fNLqDB47gMKj7BHhR2Qr,0.709,0.62,2,-9.382,1,0.034,0.318,0.0,0.0426,0.936,93.723,123520
The Book of Love,The Monotones,1N131UBLlYAUJNVpHOfEc1,0.428,0.594,10,-12.716,1,0.379,0.734,0.0,0.567,0.556,198.67,138298
"Shake, Rattle And Roll - Single Version",Bill Haley & His Comets,1rmvCn0AfUx84vcbvxWYwh,0.646,0.662,5,-11.374,1,0.114,0.163,0.0,0.143,0.873,166.722,150000
Jailhouse Rock,Elvis Presley,4gphxUgq0JSFv2BCLhNDiE,0.647,0.582,10,-9.538,0,0.0755,0.41,1.93e-06,0.0715,0.915,167.396,146480
Donna - Single Version,Ritchie Valens,0VE4ayVlGs5DBoqOdgJ0Zv,0.472,0.225,5,-12.581,1,0.0263,0.864,0.0,0.111,0.29,100.299,150973
Blueberry Hill,Fats Domino,06PdA0DLgF4BfAeUNZAbFG,0.489,0.499,11,-9.702,1,0.0271,0.74,0.000236,0.156,0.829,133.341,147880
At the Hop,Angelo Grey Band,6wt538gLCcV38weNmJjU0z,0.412,0.72,8,-9.777,1,0.0479,0.502,0.00293,0.135,0.965,191.333,154776
Yakety Yak - 2007 Remaster,The Coasters,3Lbxie6whOW4eMt4jtI32k,0.641,0.834,7,-7.831,1,0.242,0.626,0.000534,0.131,0.849,120.948,116027
Blue Moon,The Marcels,75ewj77lCHHLKOlyx5KvGw,0.621,0.43,7,-11.163,1,0.0343,0.69,0.0,0.075,0.938,127.74,135200
