title,artist
"81 Million Votes, My Ass",The Truth Bombers & Kari Lake
Fast Car,Luke Combs
Last Night,Morgan Wallen
Take Two,BTS
Need A Favor,Jelly Roll
Save Me (with Lainey Wilson),Jelly Roll
Flowers,Miley Cyrus
Bust a Move,Young MC
Thank God I Do,Lauren Daigle
Son,Mitch Rossell
Calm Down,Rema & Selena Gomez
Let Me In,EXO
Thinkin’ Bout Me,Morgan Wallen
Funky Cold Medina,Tone-Loc
Stand By Me (feat. Morgan Wallen),Lil Durk
Dance The Night,Dua Lipa
Son Of A Sinner,Jelly Roll
Area Codes,Kali
All My Life (feat. J. Cole),Lil Durk
Pound Town 2,"Sexyy Red, Nicki Minaj & Tay Keith"
Wild Thing,Tone-Loc
TRUSTFALL,P!nk
Thank God,Kane Brown & Katelyn Brown
Eyes Closed,Ed Sheeran
Cruel Summer,Taylor Swift
Thicc As Thieves,Lauren Alaina & Lainey Wilson
Favorite Song,Toosii
Heart Like A Truck,Lainey Wilson
Love You Anyway,Luke Combs
Religiously,Bailey Zimmerman
Dancin’ In The Country,Tyler Hubbard
Thought You Should Know,Morgan Wallen
Something in the Orange (Z&E's Version),Zach Bryan
Tennessee Orange,Megan Moroney
Praise You Anywhere,Brandon Lake
Rode Hard,Danae Hays
Karma,Taylor Swift
Can She Have This Dance,Drew Baldridge
Heaven,Niall Horan
Rock and A Hard Place,Bailey Zimmerman
Anti-Hero,Taylor Swift
Next Thing You Know,Jordan Davis
Watermelon Moonshine,Lainey Wilson
Mourning,Post Malone
Bury Me in Georgia (Single Edit),Kane Brown
Fast Car,Tracy Chapman
Unstoppable,Sia
Daylight,David Kushner
wait in the truck,HARDY & Lainey Wilson
One Thing At A Time,Morgan Wallen
If You Were Mine,Miranda Lambert & Leon Bridges
Am I Dreaming,"Metro Boomin, A$AP Rocky & Roisee"
Tennessee Whiskey,Chris Stapleton
Chemical,Post Malone
Oklahoma Smokeshow,Zach Bryan
Euphoria,BTS
Wasted On You,Morgan Wallen
Sure Thing,Miguel
Peaches,Jack Black
Hip Hop Hooray (Re-recorded Version),Naughty By Nature
VULGAR,Sam Smith & Madonna
Waffle House,Jonas Brothers
Try That In A Small Town,Jason Aldean
Makeba,Jain
Shivers,Ed Sheeran
TRUCK BED,HARDY
O.P.P. (Re-recorded Version),Naughty By Nature
Drinkaby,Cole Swindell
Ella Baila Sola,Eslabon Armado & Peso Pluma
Dial Drunk,Noah Kahan
I Ain't Worried,OneRepublic
Cupid (Twin Ver.),FIFTY FIFTY
WHERE SHE GOES,Bad Bunny
Gratitude,Brandon Lake
Halfway To Hell,Jelly Roll
Karma (feat. Ice Spice),Taylor Swift
To the Bar,Cooper Alan
Memory Lane,Old Dominion
Your Heart Or Mine,Jon Pardi
Hits Different,Taylor Swift
Take Me Out,Carrie Underwood
One Margarita (Margarita Song),"That Chick Angel, Casa Di & Steve Terrell"
You Proof,Morgan Wallen
Life Goes On (feat. Luke Combs),Ed Sheeran
You Need To Calm Down,Taylor Swift
Standing Room Only,Tim McGraw
But I Got A Beer In My Hand,Luke Bryan
red flag collector,Kelly Clarkson
Sugar Babies,Spoon
Whiskey Glasses,Morgan Wallen
Put It On Da Floor Again (feat. Cardi B),Latto
Slut Me Out,NLE Choppa
Perfect,Ed Sheeran
How Do I Say Goodbye,Dean Lewis
Snooze,SZA
HAPPY,NF
A Symptom Of Being Human,Shinedown
Calm Down,Rema
PLEBADA,El Alfa & Peso Pluma
